,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N°,N° de Parte,Cliente ,Descripción de cliente ,Laminación VCL,Referencia,Troquel,Paso troquel (mm),Prensa principal,Placas / Paralelas,Stacker´s,Bandas,Prensa alterna 1,Placas / Paralelas2,Stacker´s2,Bandas2,Prensa alterna 2,Placas / Paralelas3,Stacker's ,Bandas3,Prensa alterna 3,Placas / Paralelas4,Stacker's 3,Bandas4,Long. alambre para corte,Cal. de alambre,Tipo de alambre,Lubricante,Horneado,Acero 1,Acero 2,Acero 3,Espesor (pulg.),Ancho de cinta (pulg.),Peso pieza (kg),Long. Alambre / stack  final (pulg.),Piezas por alambre,Peso de alambre (kg),Tamaño de caja (L*A*P),Alambres / Stack´s por caja,Tamaño de tarima (L*A),Tipo de tarima,Característica especial
55,12100023,BODINE ELECTRIC,,R12100023,,42 FRAME,93.3,P-150A,Placas 10,42 FRAME,Bandas 6,,,,,,,,,,,,,,,,,,50M600,,,0.0197,3.720,0.0059,,0,0.000,,,,,
39,1-310-001531,NORATEL ,"1.5"" x 14.0""",1-310-001531,,N/A,N/A,CTL-A,N/A,N/A,,CTL-B,N/A,N/A,,CTL-C,N/A,N/A,,N/A,N/A,N/A,,,,,Evaporativo,No,35M145,,,0.0138,1.500,,2,145,0.000,,,,,GPM 75
40,1-310-001532,NORATEL ,"1.5"" x 4.25""",1-310-001532,,N/A,N/A,CTL-A,N/A,N/A,,CTL-B,N/A,N/A,,CTL-C,N/A,N/A,,N/A,N/A,N/A,,,,,Evaporativo,No,35M140,,,0.0138,1.500,,2,145,0.000,,,,,GPM 75
41,1-310-001533,NORATEL ,"1.25"" x 6.0""",1-310-001533,,N/A,N/A,CTL-A,N/A,N/A,,CTL-B,N/A,N/A,,CTL-C,N/A,N/A,,N/A,N/A,N/A,,,,,Evaporativo,No,35M140,,,0.0138,1.250,,2,145,0.000,,,,,GPM 75
42,1-310-001534,NORATEL ,"3.0"" x 6.0""",1-310-001534,,N/A,N/A,CTL-A,N/A,N/A,,CTL-B,N/A,N/A,,CTL-C,N/A,N/A,,N/A,N/A,N/A,,,,,Evaporativo,No,35M140,,,0.0138,3.000,,2,145,0.000,,,,,GPM 75
43,1-310-001610,NORATEL ,"2.375"" x 7.75""",1-310-001610,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,CTL-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Evaporativo,No,35M300,,,0.0138,2.375,,2,145,0.000,,,,,GPM 75
44,1-310-001611,NORATEL ,"2.375"" x 6.5""",1-310-001611,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,CTL-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Evaporativo,No,35M300,,,0.0138,2.375,,2,145,0.000,,,,,GPM 75
45,1-310-001612,NORATEL ,"2.375"" x 3.0"" ",1-310-001612,,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,CTL-C,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,Evaporativo,No,35M300,,,0.0138,2.375,,2,145,0.000,,,,,GPM 75
59,SES-COR-0623,SPANG,LAMINATION,SES-COR-0623,,N/A,N/A,CTL-A,N/A,N/A,,CTL-B,N/A,N/A,,CTL-C,N/A,N/A,,,N/A,N/A,N/A,,,,Evaporativo,No,,,,0.0138,1.750,,2,145,0.000,,,,,GPM 75
60,SES-COR-0624,SPANG,LAMINATION ,SES-COR-0624,,N/A,N/A,CTL-A,N/A,N/A,,CTL-B,N/A,N/A,,CTL-C,N/A,N/A,,,N/A,N/A,N/A,,,,Evaporativo,No,,,,0.0138,1.750,,2,145,0.000,,,,,GPM 75
61,SES-COR-0690,SPANG,CORE,SES-COR-0690,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Si,,,,0.0138,2.370,,,0,0.000,,,,,
62,SES-COR-0739,SPANG,CORE,SES-COR-0739,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Si,35M140,,,0.0138,2.060,,N/A,#VALUE!,#VALUE!,,,,,
46,COR.WDG.M3-0138,SOUTH WEST,,COR.WDG.M3-0138,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Si,B23P100,,,0.09,9.000,,,0,0.000,,,,,
47,COR.WDG.M3-0139,SOUTH WEST,,COR.WDG.M3-0139,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Si,B23P100,,,0.09,9.000,,,0,0.000,,,,,
48,PCR77351,CENTRAL MOLONEY,,PCR77351,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Si,23M100,,,0.009,,,,0,0.000,,,,,
49,PCR77351,CENTRAL MOLONEY,,PCR76352,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Si,23M100,,,0.009,,,,0,0.000,,,,,
56,ATT140001,SPECIALTY MAGNETICS,,ATT140001,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,CTL-A,N/A,N/A,N/A,CTL-B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,,,,,,,,#DIV/0!,#DIV/0!,,,,,
57,370-00001,SYNERGY MAGNETICS,,370-00001,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
58,370-00002,SYNERGY MAGNETICS,,370-00002,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
63,25B7311002,EATON,,25B7311002,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
64,25B7316164,EATON,,25B7316164,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
65,25B7316167,EATON,,25B7316167,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
66,25B7316286,EATON,,25B7316286,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
67,2507082010,EATON,,2507082010,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
68,2507082013,EATON,,2507082013,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
69,2507082040,EATON,,2507082040,,N/A,N/A,DG CORE A,N/A,N/A,N/A,DG CORE B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,#DIV/0!,#DIV/0!,,,,,
